MOVES: 71 | PUSHES: 11 | DIR PUSHES: 10 | REV PUSHES: 2 | BOX CHANGES: 7 | CORNER GOALS: 4 | fDiv: 0.9550831550197532 | fEmp: 14
MOVES: 88 | PUSHES: 13 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 4 | fDiv: 0.9773222241688325 | fEmp: 14
MOVES: 125 | PUSHES: 27 | DIR PUSHES: 22 | REV PUSHES: 7 | BOX CHANGES: 15 | CORNER GOALS: 5 | fDiv: 0.9622693936174219 | fEmp: 15
MOVES: 90 | PUSHES: 21 | DIR PUSHES: 15 | REV PUSHES: 4 | BOX CHANGES: 11 | CORNER GOALS: 2 | fDiv: 0.9254570869079186 | fEmp: 15
MOVES: 52 | PUSHES: 11 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 6 | CORNER GOALS: 5 | fDiv: 0.9947320856735371 | fEmp: 18
MOVES: 56 | PUSHES: 15 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 8 | CORNER GOALS: 6 | fDiv: 0.9549808751202885 | fEmp: 16
MOVES: 142 | PUSHES: 20 | DIR PUSHES: 18 | REV PUSHES: 3 | BOX CHANGES: 14 | CORNER GOALS: 4 | fDiv: 0.98464673297954 | fEmp: 15
MOVES: 99 | PUSHES: 13 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 5 | fDiv: 0.9549808751202882 | fEmp: 16
MOVES: 76 | PUSHES: 13 | DIR PUSHES: 11 | REV PUSHES: 2 | BOX CHANGES: 8 | CORNER GOALS: 3 | fDiv: 0.9783252357877845 | fEmp: 15
MOVES: 89 | PUSHES: 15 | DIR PUSHES: 12 | REV PUSHES: 2 | BOX CHANGES: 8 | CORNER GOALS: 3 | fDiv: 0.9720037385960292 | fEmp: 15
MOVES: 103 | PUSHES: 20 | DIR PUSHES: 19 | REV PUSHES: 5 | BOX CHANGES: 15 | CORNER GOALS: 3 | fDiv: 0.9549808751202884 | fEmp: 16
MOVES: 139 | PUSHES: 24 | DIR PUSHES: 17 | REV PUSHES: 3 | BOX CHANGES: 12 | CORNER GOALS: 3 | fDiv: 0.9622693936174219 | fEmp: 15
MOVES: 73 | PUSHES: 10 | DIR PUSHES: 9 | REV PUSHES: 0 | BOX CHANGES: 6 | CORNER GOALS: 1 | fDiv: 0.9157502226334148 | fEmp: 16
MOVES: 40 | PUSHES: 9 | DIR PUSHES: 9 | REV PUSHES: 1 | BOX CHANGES: 6 | CORNER GOALS: 3 | fDiv: 0.9668925688346108 | fEmp: 14
MOVES: 72 | PUSHES: 17 | DIR PUSHES: 17 | REV PUSHES: 4 | BOX CHANGES: 15 | CORNER GOALS: 5 | fDiv: 0.9668925688346108 | fEmp: 14
MOVES: 122 | PUSHES: 19 | DIR PUSHES: 17 | REV PUSHES: 6 | BOX CHANGES: 12 | CORNER GOALS: 2 | fDiv: 0.9550831550197532 | fEmp: 14
MOVES: 66 | PUSHES: 14 | DIR PUSHES: 12 | REV PUSHES: 1 | BOX CHANGES: 7 | CORNER GOALS: 3 | fDiv: 0.9773222241688324 | fEmp: 14
MOVES: 77 | PUSHES: 20 | DIR PUSHES: 17 | REV PUSHES: 7 | BOX CHANGES: 14 | CORNER GOALS: 5 | fDiv: 0.9737615791995307 | fEmp: 13
MOVES: 102 | PUSHES: 17 | DIR PUSHES: 15 | REV PUSHES: 4 | BOX CHANGES: 12 | CORNER GOALS: 2 | fDiv: 0.9593877085910181 | fEmp: 16
MOVES: 141 | PUSHES: 25 | DIR PUSHES: 24 | REV PUSHES: 7 | BOX CHANGES: 20 | CORNER GOALS: 4 | fDiv: 0.9364792064684526 | fEmp: 15
