RATING: 0.7663152388627116 | SEED: 1743630337411
RATING: 0.716755061488954 | SEED: 1743630404230
RATING: 0.7421841473777908 | SEED: 1743630410562
RATING: 0.7548074144199785 | SEED: 1743630434886
RATING: 0.7236347581840027 | SEED: 1743630463177
RATING: 0.7074630272595459 | SEED: 1743630592612
RATING: 0.7881889072447873 | SEED: 1743630757947
RATING: 0.7015553669822483 | SEED: 1743630819951
RATING: 0.7700951231231907 | SEED: 1743630830332
RATING: 0.7398146990112665 | SEED: 1743630835804
RATING: 0.8272598041656877 | SEED: 1743630889140
RATING: 0.7371334664941052 | SEED: 1743630905444
RATING: 0.7773162127922947 | SEED: 1743630939913
RATING: 0.7864496951872995 | SEED: 1743630944807
RATING: 0.8390522846592391 | SEED: 1743631003283
RATING: 0.8013202782037553 | SEED: 1743631186205
RATING: 0.7341208004177529 | SEED: 1743631244711
RATING: 0.7849888289922552 | SEED: 1743631251918
RATING: 0.8133045922882081 | SEED: 1743631264045
RATING: 0.8301082318014437 | SEED: 1743631300747
