moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,rating,seed
300,81,50,21,39,3.0,0.475,1743698690986
332,55,41,16,32,3.0,0.5740740740740741,1743697800888
352,49,35,19,27,2.0,0.5416666666666666,1743698327770
311,64,37,14,26,1.0,0.3968253968253968,1743698157866
240,49,36,17,26,3.0,0.5208333333333334,1743698383851
182,58,35,16,26,2.0,0.4385964912280701,1743697996299
275,46,32,14,24,1.0,0.5111111111111111,1743698025224
237,42,28,20,24,2.0,0.5609756097560976,1743698289730
274,51,34,18,24,4.0,0.46,1743697745914
278,46,35,14,24,2.0,0.5111111111111111,1743697778512
320,41,30,14,24,0.0,0.575,1743697978966
210,49,35,13,23,5.0,0.4583333333333333,1743697831139
298,48,31,16,23,2.0,0.4680851063829787,1743698458913
298,50,28,14,23,3.0,0.4489795918367347,1743697903748
214,37,27,13,23,3.0,0.6111111111111112,1743697964262
324,47,34,18,22,4.0,0.4565217391304347,1743697935778
220,42,28,17,22,0.0,0.5121951219512195,1743698136630
219,54,33,17,21,3.0,0.3773584905660377,1743697997752
226,34,28,17,21,2.0,0.6060606060606061,1743698357529
292,40,26,14,21,2.0,0.5128205128205128,1743697937089
191,41,30,6,21,1.0,0.5,1743697883829
274,42,30,13,21,0.0,0.4878048780487805,1743698553934
151,44,28,15,21,5.0,0.4651162790697674,1743698239725
225,37,26,6,20,3.0,0.5277777777777778,1743698413232
259,58,29,17,20,0.0,0.3333333333333333,1743698366188
173,46,31,19,19,5.0,0.4,1743697978686
226,34,25,8,19,1.0,0.5454545454545454,1743698025914
197,40,29,12,19,2.0,0.4615384615384615,1743698068158
159,34,24,9,19,1.0,0.5454545454545454,1743698711685
316,57,32,20,19,2.0,0.3214285714285714,1743698244699
164,36,26,9,19,1.0,0.5142857142857142,1743697996025
322,44,24,17,18,2.0,0.3953488372093023,1743697905922
188,34,26,7,18,2.0,0.5151515151515151,1743697906306
175,42,24,13,18,1.0,0.4146341463414634,1743698415059
154,47,26,13,18,2.0,0.3695652173913043,1743698024354
225,31,23,6,18,4.0,0.5666666666666667,1743697861712
208,34,26,11,18,3.0,0.5151515151515151,1743698110198
