moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,fDiv,fEmp,rating,seed
217,35,29,8,25,0,0.8686603839337084,42,0.7599327229344041,1743757275020
108,22,21,4,16,2,0.8803803913579624,41,0.7453463703130692,1743758068926
505,100,78,33,60,0,0.8669515570838507,40,0.7307397269686271,1743757529041
256,48,40,17,31,2,0.8756702654341827,42,0.7237472446612127,1743757521270
126,17,16,7,11,2,0.8630351156816918,43,0.7193027570704327,1743757928862
70,14,13,2,10,3,0.8463305650328612,33,0.7165499523376435,1743757430876
116,15,13,5,10,2,0.869494955609762,48,0.7137599383221854,1743757630300
174,28,23,9,19,3,0.8635154964279235,40,0.7121107700578047,1743758000345
143,29,23,8,19,2,0.875623906428622,46,0.7088008112943323,1743757271129
257,29,22,7,20,4,0.880319853229977,47,0.7060378646358804,1743757257231
230,53,37,22,32,2,0.8647699898299256,43,0.7045297932951491,1743757558000
96,18,15,3,11,0,0.8679165593938621,42,0.7013584289542171,1743756845284
150,23,20,5,14,2,0.8797937289552548,46,0.6957741149098512,1743757497844
127,11,10,3,7,3,0.8799482425614672,43,0.6883859433357591,1743757329489
146,23,17,6,13,0,0.850984980377703,40,0.6878422148498343,1743757275565
146,24,20,7,14,2,0.8670773425762088,42,0.6865612374149282,1743757183969
366,44,35,17,24,1,0.8810779654856296,45,0.6861589220900691,1743757217756
113,23,17,5,14,1,0.8796814579775623,45,0.6856168104711514,1743758004699
145,16,13,5,9,0,0.881516713985984,42,0.6812674207564979,1743758288657
148,30,20,16,16,1,0.870618068380706,41,0.6770512944089864,1743757396181
113,23,18,3,14,2,0.8768879286238361,45,0.6768258730035361,1743757148659
249,33,24,16,18,2,0.8799554693970659,44,0.6762132074399695,1743757664660
62,21,14,9,12,2,0.8731349087079281,49,0.6748926192694256,1743757880152
105,16,13,2,11,5,0.8809824013499944,51,0.6746444411336253,1743757417246
198,46,33,15,26,3,0.8640554067992157,37,0.6742255184122281,1743757927541
115,22,18,6,12,1,0.8758030148217794,44,0.6737719455708238,1743757353489
248,36,24,12,20,1,0.8732658631796106,46,0.6734896628129993,1743757357398
249,41,32,9,24,3,0.8773143225550921,41,0.6727502663184814,1743756862767
179,32,24,15,16,1,0.8815168789177987,41,0.6709841023380323,1743757183550
175,35,29,16,18,2,0.8715772529263508,48,0.6700582392908133,1743758069840
289,39,30,17,22,4,0.8680518070313785,45,0.6687022868859326,1743757384531
125,27,18,9,14,0,0.8865951700590875,44,0.6632401145645981,1743756830302
180,26,18,7,15,3,0.879955469397066,44,0.661916668667248,1743757552245
268,45,31,13,23,1,0.8714811332799185,45,0.6615184878148772,1743757970460
158,21,18,9,10,1,0.8761132089653054,45,0.6603180918563125,1743757191607
174,40,28,15,22,4,0.8822150676843992,51,0.6565416214580663,1743758030617
191,32,25,14,15,1,0.8773950538378771,47,0.6560225107379669,1743757061190
205,47,33,11,25,3,0.8785266970549148,44,0.6523818489676372,1743758288923
112,23,17,4,13,3,0.8706180683807059,41,0.6517970358552381,1743757532686
277,43,32,16,21,2,0.8818868247067045,44,0.6514938826299395,1743758308157
149,28,21,11,14,2,0.8706921915529053,43,0.6514204425573213,1743757042152
308,40,32,16,18,1,0.885697305322684,49,0.6510925092781042,1743758100869
89,14,12,2,8,3,0.8785718765568903,49,0.6500399828057309,1743757370070
227,42,30,12,23,4,0.8813737861700012,41,0.6491464152032065,1743757446257
272,61,38,21,31,2,0.8769018119180542,40,0.6490749660769255,1743757996045
173,33,23,12,17,2,0.8796446249071433,46,0.6486608107880815,1743757489478
82,13,12,5,7,4,0.8778336064861684,48,0.647760206757305,1743757332525
176,38,24,18,20,3,0.8781719987732101,46,0.6467055547340018,1743757458209
163,28,18,4,15,1,0.878525191119074,46,0.6462226669861384,1743758525759
138,36,26,13,18,3,0.8797937289552545,46,0.6455796253280949,1743756949714
138,20,16,7,10,2,0.8766149315361554,43,0.6453511436210684,1743757711157
119,28,19,11,13,0,0.8795992063984778,47,0.6449422350107912,1743756895992
277,48,37,13,24,3,0.873660032434432,48,0.644190794558732,1743757929401
157,32,21,10,16,2,0.8703952625278236,45,0.6435919004258561,1743757537723
128,26,20,12,13,3,0.8796814579775621,45,0.6431924463610698,1743757724643
60,16,13,7,8,3,0.8813112572715365,47,0.6427250030491424,1743757709607
155,21,16,11,10,2,0.8732037137592249,42,0.642670173909447,1743757915326
184,36,23,14,17,1,0.8668355628868459,45,0.6425769498701199,1743758070130
110,23,16,4,13,3,0.8831932883254658,41,0.6417283524529144,1743758292798
280,48,32,17,21,0,0.874034000716624,44,0.6412070863027532,1743757601194
132,18,13,1,10,2,0.8741785208413395,46,0.6409288840584055,1743757329216
198,30,21,10,15,2,0.8698975423107143,47,0.6399642149321807,1743757867573
158,28,19,11,13,1,0.879916226160049,43,0.639595269725856,1743756866690
216,40,28,14,18,1,0.8775886741838557,48,0.638794451661536,1743756873677
164,31,25,12,14,2,0.8835100604944198,46,0.6373304227907848,1743757767315
188,31,19,13,16,3,0.8660541464811387,42,0.6372662389567849,1743757344332
