moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,fDiv,fEmp,rating,seed
93,20,14,11,8,2,0.8800853828975636,48,0.6020083931442529,1745228353408
168,29,13,11,7,0,0.8748500010956008,50,0.5331294874173034,1745228362999
317,78,40,25,20,2,0.8759406156762906,43,0.5410455324210223,1745228370003
113,34,15,7,8,2,0.8800888058211503,44,0.5041418981343161,1745228370704
120,21,16,5,11,2,0.8747525214886165,40,0.6452168712537834,1745228372519
149,32,18,7,9,1,0.8774026152822125,43,0.5414956459567143,1745228376648
146,31,18,14,12,1,0.8817223117517226,45,0.6007073841084828,1745228380403
247,64,35,26,24,3,0.8670740061912983,40,0.5897472680265996,1745228381079
179,38,22,17,12,4,0.8769174934550592,41,0.5462008553904907,1745228383077
152,24,16,7,12,2,0.8734387765279751,47,0.6353674938120636,1745228383784
131,26,14,13,11,1,0.8753943283313971,43,0.6119513445668588,1745228384948
140,35,21,9,11,1,0.8804446788184813,47,0.5628509465018328,1745228385585
202,32,20,13,12,0,0.8655276309913897,42,0.6151068001372217,1745228386218
212,49,28,14,15,2,0.8831318191815068,49,0.5612330821613561,1745228386848
163,30,18,10,10,1,0.8711202717437339,46,0.5731139900604928,1745228387474
103,23,14,6,9,3,0.872522915784465,44,0.5731529493543847,1745228388113
167,42,32,7,26,4,0.8622996423705029,43,0.6751054379402948,1745228394944
154,27,18,13,11,1,0.8540163984812658,41,0.6176052097309743,1745228400409
185,41,22,17,12,2,0.8734910355311183,48,0.5540359256364341,1745228447012
128,20,12,5,9,1,0.8757677546770799,47,0.6027608977328549,1745228447658
332,57,30,17,20,2,0.868443046461196,43,0.5792641823653182,1745228448286
271,54,32,22,25,0,0.8703047217386811,46,0.6492808913649957,1745228449058
218,29,21,12,17,2,0.8770504563569622,42,0.6884962560448791,1745228478836
158,33,22,7,13,2,0.8807169244209686,45,0.5883525286534387,1745228479901
38,9,7,2,5,3,0.8696290922405722,45,0.6340350093011328,1745228480645
170,28,19,13,13,4,0.875701763591956,45,0.6124466981899243,1745228481964
124,26,16,12,12,2,0.8726753333454864,45,0.6276980596990862,1745228483114
138,40,24,9,17,4,0.8717545559405424,41,0.5847067271446043,1745228483944
120,23,19,4,12,2,0.8738890653070613,43,0.6479705194107398,1745228488798
55,12,8,5,4,2,0.8702301310442987,43,0.5491686639198325,1745228489493
251,57,26,26,16,0,0.8783498056843893,43,0.5718475401995726,1745228514621
240,48,31,12,16,1,0.8811788399351592,48,0.583420968057177,1745228556897
224,44,24,15,17,2,0.8796446249071432,46,0.5894651660739242,1745228557609
63,15,10,2,6,2,0.8824880657239722,48,0.5733087476909191,1745228558586
106,19,13,7,10,1,0.8711202717437341,46,0.6526660638900512,1745228559202
165,32,20,7,16,3,0.8841327559618231,45,0.6170430499545954,1745228559844
182,30,19,10,12,0,0.8710396087939165,45,0.6144287485136277,1745228569439
196,43,27,14,21,2,0.8608980689287224,42,0.637739871607826,1745228570057
105,16,10,0,5,2,0.8708202200678764,43,0.5212729920917017,1745228572029
194,40,23,15,15,3,0.8854335965921869,44,0.5747012569977359,1745228582967
132,31,23,9,16,5,0.871741880064794,45,0.6233775074741561,1745228608311
88,16,11,3,8,3,0.8773049850692133,48,0.6045258445587073,1745228610510
224,35,27,13,19,3,0.8602480920012737,43,0.6653996121109429,1745228611163
88,23,13,8,7,1,0.8819070785145314,47,0.5541544072038064,1745228631640
125,25,15,2,9,3,0.8761132089653053,45,0.5468930643632889,1745228632264
97,20,16,4,12,2,0.8723385555263045,44,0.6795534675608838,1745228632936
111,28,18,12,9,1,0.8764324489467299,47,0.5816801234766971,1745228635382
124,29,18,11,14,1,0.8792857236544215,48,0.6389732304374365,1745228646558
159,30,16,9,8,1,0.877018302016274,45,0.5391968603075995,1745228664794
142,33,22,3,15,2,0.8805865510285307,45,0.6043756165423307,1745228665449
