moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,rating,seed
328,85,49,34,22,0,0.5714285714285714,1743702795323
482,91,45,34,30,0,0.4888888888888889,1743701800863
326,56,44,24,36,1,0.7818181818181819,1743702222855
285,61,44,20,23,3,0.7166666666666667,1743702762262
357,75,42,39,24,1,0.5540540540540541,1743701881723
241,68,42,33,25,2,0.6119402985074627,1743701727985
326,63,40,15,26,1,0.6290322580645161,1743702188860
279,70,39,29,25,0,0.5507246376811594,1743702832424
294,66,38,22,24,3,0.5692307692307692,1743702794103
292,54,37,11,29,2,0.6792452830188679,1743701436639
209,54,34,17,23,2,0.6226415094339622,1743702186733
231,52,34,16,27,0,0.6470588235294118,1743702189666
245,50,34,22,24,3,0.673469387755102,1743702315352
215,50,33,14,24,0,0.6530612244897959,1743701313543
299,49,33,22,23,2,0.6666666666666666,1743701799982
312,66,33,20,20,1,0.4923076923076923,1743701343664
270,43,33,12,24,2,0.7619047619047619,1743702080743
290,51,32,18,24,3,0.62,1743702040607
238,45,32,11,24,3,0.7045454545454546,1743702344606
171,51,31,12,20,1,0.6,1743701974007
255,45,31,18,21,1,0.6818181818181818,1743701926789
240,50,31,15,19,1,0.6122448979591837,1743702732228
180,41,30,13,19,4,0.725,1743702831517
193,46,30,13,15,2,0.6444444444444445,1743701745792
171,41,30,15,17,2,0.725,1743702851131
315,54,30,20,21,4,0.5471698113207547,1743702210024
179,45,29,13,15,2,0.6363636363636364,1743702237218
178,47,29,25,19,2,0.6086956521739131,1743702264747
285,46,29,16,24,2,0.6222222222222222,1743701408474
238,37,29,10,23,3,0.7777777777777778,1743701761553
173,43,29,14,22,1,0.6666666666666666,1743701342955
229,42,29,20,17,1,0.6829268292682927,1743702636641
333,63,29,19,18,2,0.4516129032258064,1743702825500
202,46,28,15,15,1,0.6,1743702207020
264,60,28,16,20,2,0.4576271186440678,1743701441904
213,44,28,20,23,3,0.627906976744186,1743702789610
284,41,28,12,18,5,0.675,1743702313073
221,48,28,15,16,2,0.574468085106383,1743702157301
155,37,28,9,24,4,0.75,1743702662393
182,37,27,19,20,2,0.7222222222222222,1743701795869
267,40,27,15,18,1,0.6666666666666666,1743702634383
234,43,27,18,21,1,0.6190476190476191,1743702586681
190,48,27,14,17,3,0.5531914893617021,1743702794744
198,41,27,12,19,2,0.65,1743702848454
270,42,26,13,13,2,0.6097560975609756,1743702372591
229,37,26,17,19,4,0.6944444444444444,1743702216173
205,45,26,11,22,1,0.5681818181818182,1743702211300
164,50,26,20,20,3,0.5102040816326531,1743702385291
203,37,26,9,17,3,0.6944444444444444,1743701922180
164,40,25,11,18,2,0.6153846153846154,1743702879384
