moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,rating,seed
321,95,51,32,29,4,0.29375,1743700744047
465,87,52,39,34,1,0.1853448275862069,1743700567560
478,85,57,21,43,1,0.1761006289308176,1743700740246
305,74,43,28,23,3,0.2401315789473684,1743700768225
293,73,47,31,28,2,0.2465753424657534,1743699982763
368,72,39,24,23,3,0.1934604904632152,1743699845442
297,72,39,22,32,2,0.2398648648648648,1743700045483
290,68,33,27,20,3,0.231833910034602,1743699751800
334,65,39,21,24,2,0.1921921921921922,1743699826910
233,64,36,28,22,2,0.271551724137931,1743700099004
202,64,29,26,18,1,0.3134328358208955,1743700213045
264,63,41,25,24,1,0.2357414448669201,1743700742752
298,61,40,26,26,1,0.202020202020202,1743699845034
344,61,38,26,24,2,0.1749271137026239,1743699730898
288,60,31,19,21,4,0.205574912891986,1743699732897
245,60,27,20,17,1,0.2418032786885245,1743700017245
375,59,31,15,22,2,0.1550802139037433,1743699751481
328,57,39,18,33,2,0.1712538226299694,1743700733081
161,56,22,12,12,1,0.34375,1743700121191
378,56,39,18,28,2,0.1458885941644562,1743699591394
281,55,24,25,17,1,0.1928571428571428,1743700229946
245,54,33,13,23,4,0.2172131147540983,1743700736367
232,54,32,12,15,2,0.2294372294372294,1743699973135
322,54,27,18,21,2,0.1651090342679127,1743699608842
338,52,33,18,24,2,0.1513353115727003,1743699746886
200,52,26,10,13,2,0.2562814070351759,1743700423236
287,52,36,16,25,4,0.1783216783216783,1743700567941
243,51,23,18,14,2,0.2066115702479339,1743700049427
203,51,31,19,18,2,0.2475247524752475,1743700010721
179,49,20,18,10,2,0.2696629213483146,1743700099634
274,49,28,20,23,2,0.1758241758241758,1743700631995
250,48,31,15,23,3,0.1887550200803212,1743699806160
218,48,23,23,15,2,0.216589861751152,1743700730241
191,48,29,14,19,2,0.2473684210526315,1743700078626
226,47,34,13,27,2,0.2044444444444444,1743700090728
176,46,23,14,15,3,0.2571428571428571,1743700052007
228,46,30,23,19,3,0.198237885462555,1743700415210
200,46,29,18,24,2,0.2261306532663316,1743699660417
165,44,23,10,17,3,0.2621951219512195,1743699997174
224,44,27,21,20,3,0.1928251121076233,1743700629694
210,44,22,18,17,1,0.2057416267942583,1743700053066
207,43,32,16,22,2,0.203883495145631,1743700270439
