moves,pushes,dir_pushes,rev_pushes,box_changes,corner_goals,rating,seed
393,114,72,52,52,2,0.4561403508771929,1743701608846
381,102,57,42,36,3,0.4117647058823529,1743701681718
422,87,60,35,44,3,0.4022988505747126,1743702537564
336,93,34,31,22,2,0.3333333333333333,1743702193702
238,49,29,30,17,2,0.6122448979591837,1743701474355
322,57,35,25,25,3,0.4385964912280701,1743702027467
320,65,40,24,25,3,0.3692307692307692,1743701747925
261,63,40,23,31,3,0.365079365079365,1743702329323
249,60,39,23,27,3,0.3833333333333333,1743702540756
481,59,42,23,31,3,0.3898305084745763,1743702874676
248,63,33,23,24,2,0.365079365079365,1743702839063
250,56,35,22,26,3,0.3928571428571428,1743701951059
208,45,26,22,13,3,0.4888888888888889,1743702633312
191,43,26,21,23,3,0.4883720930232558,1743701683354
195,50,27,20,21,4,0.4,1743702035216
304,49,29,20,23,2,0.4081632653061224,1743701608059
232,45,34,19,25,1,0.4222222222222222,1743701622532
169,43,25,19,17,2,0.4418604651162791,1743702135977
243,49,28,19,20,3,0.3877551020408163,1743701446018
177,35,28,19,23,2,0.5428571428571428,1743701622206
211,37,21,19,15,2,0.5135135135135135,1743701987482
185,41,29,18,14,2,0.4390243902439024,1743701400335
253,48,37,18,24,2,0.375,1743701400024
353,47,32,18,26,1,0.3829787234042553,1743702307202
110,34,19,18,15,1,0.5294117647058824,1743702135701
164,47,27,18,13,2,0.3829787234042553,1743702201798
271,59,33,18,16,2,0.3050847457627119,1743702222212
255,59,27,18,16,2,0.3050847457627119,1743702421145
210,61,28,18,14,2,0.2950819672131147,1743702536574
393,60,32,17,28,1,0.2833333333333333,1743702564625
232,45,27,17,16,3,0.3777777777777777,1743701862034
283,57,44,17,38,3,0.2982456140350877,1743701798528
241,46,29,17,18,4,0.3695652173913043,1743702874277
178,34,17,16,11,2,0.4705882352941176,1743701461160
225,49,28,16,14,3,0.3265306122448979,1743701597118
263,40,37,16,31,4,0.4,1743702884725
141,38,17,16,11,1,0.4210526315789473,1743701447728
170,48,22,16,9,2,0.3333333333333333,1743701435853
131,33,25,16,20,2,0.4848484848484848,1743701622826
217,41,30,15,23,2,0.3658536585365853,1743701448962
109,35,21,15,12,4,0.4285714285714285,1743702627283
159,31,21,15,8,3,0.4838709677419355,1743702537280
191,47,21,15,12,1,0.3191489361702128,1743702860168
129,33,18,15,10,0,0.4545454545454545,1743701859897
175,40,25,15,12,3,0.375,1743701397596
139,36,18,15,8,2,0.4166666666666667,1743702135419
150,34,21,15,16,3,0.4411764705882353,1743702311903
206,46,26,15,17,1,0.3260869565217391,1743702140493
326,55,33,14,20,2,0.2545454545454545,1743702632958
117,29,21,14,12,5,0.4827586206896552,1743702820839
155,41,27,14,20,4,0.3414634146341463,1743702904945
183,37,20,14,14,4,0.3783783783783784,1743701953676
175,38,23,14,12,3,0.3684210526315789,1743701745313
165,32,22,14,13,3,0.4375,1743701626795
134,35,21,14,12,3,0.4,1743701452909
214,29,19,13,12,1,0.4482758620689655,1743702203339
142,45,22,13,9,2,0.2888888888888888,1743701608360
260,37,25,13,14,2,0.3513513513513513,1743701798910
140,33,21,13,17,2,0.3939393939393939,1743701653579
179,39,24,13,14,3,0.3333333333333333,1743702634757
159,27,20,12,12,1,0.4444444444444444,1743702038136
157,32,21,12,14,2,0.375,1743702857870
205,34,24,12,19,5,0.3529411764705882,1743702875488
150,28,19,12,12,1,0.4285714285714285,1743701857388
166,36,23,12,10,1,0.3333333333333333,1743702564926
184,45,24,12,17,3,0.2666666666666666,1743702134984
145,28,19,12,10,3,0.4285714285714285,1743702252886
315,40,25,12,16,1,0.3,1743702873990
224,38,26,12,15,1,0.3157894736842105,1743702872874
200,29,21,12,15,0,0.4137931034482758,1743702185796
127,26,18,12,13,4,0.4615384615384615,1743702185288
338,57,31,12,23,1,0.2105263157894736,1743702854188
162,37,16,11,13,3,0.2972972972972973,1743701987052
142,32,24,11,20,4,0.34375,1743702201499
231,48,33,11,22,2,0.2291666666666666,1743702186616
165,25,13,11,7,2,0.44,1743702140185
143,32,22,11,14,2,0.34375,1743702306449
136,27,18,11,13,3,0.4074074074074074,1743702269516
230,35,23,11,15,1,0.3142857142857143,1743702270054
171,32,21,11,14,1,0.34375,1743701797717
170,42,20,11,11,2,0.2619047619047619,1743701460763
188,32,20,11,9,2,0.34375,1743701725148
91,28,16,11,11,1,0.3928571428571428,1743701626330
158,30,18,11,11,3,0.3666666666666666,1743701764257
201,36,26,11,16,0,0.3055555555555556,1743702310906
121,31,19,11,14,3,0.3548387096774194,1743702348241
200,36,24,11,14,2,0.3055555555555556,1743702564353
233,38,26,11,22,0,0.2894736842105263,1743702290563
152,29,20,11,13,3,0.3793103448275862,1743702221925
141,30,20,10,14,1,0.3333333333333333,1743702853491
116,20,10,10,5,1,0.5,1743702137788
129,29,16,10,11,2,0.3448275862068966,1743702849428
175,24,14,10,9,2,0.4166666666666667,1743702633579
229,38,23,10,18,4,0.2631578947368421,1743702849136
107,24,20,10,16,4,0.4166666666666667,1743702456904
218,32,26,10,14,2,0.3125,1743702139927
100,24,18,10,14,3,0.4166666666666667,1743702306734
138,30,14,10,9,1,0.3333333333333333,1743702299808
106,21,13,10,7,3,0.4761904761904761,1743702139385
212,33,24,10,14,2,0.303030303030303,1743702250271
140,36,28,10,21,2,0.2777777777777778,1743702146138
202,30,20,10,13,2,0.3333333333333333,1743702038724
199,30,28,10,20,2,0.3333333333333333,1743702038437
125,30,23,10,12,0,0.3333333333333333,1743701950451
195,49,27,10,13,4,0.2040816326530612,1743701435436
88,17,10,10,8,0,0.5882352941176471,1743701452648
122,26,19,10,12,2,0.3846153846153846,1743702312423
105,24,14,9,7,1,0.375,1743702146417
186,30,22,9,17,2,0.3,1743701469527
188,31,25,9,21,4,0.2903225806451613,1743702129842
122,26,19,9,11,3,0.3461538461538461,1743701469856
111,21,15,9,7,2,0.4285714285714285,1743701607790
243,39,23,9,12,4,0.2307692307692307,1743702172844
95,29,17,9,11,3,0.3103448275862069,1743702203635
151,28,22,9,14,3,0.3214285714285714,1743702851960
182,30,17,9,11,0,0.3,1743702846926
139,38,25,9,17,1,0.2368421052631578,1743702434564
186,44,25,9,14,2,0.2045454545454545,1743702331910
178,31,21,9,10,1,0.2903225806451613,1743702118003
126,28,19,9,14,2,0.3214285714285714,1743702207201
163,38,25,8,18,2,0.2105263157894736,1743701570248
82,21,17,8,12,2,0.3809523809523809,1743701492903
156,27,16,8,9,2,0.2962962962962963,1743702043237
116,35,22,8,16,3,0.2285714285714285,1743702034940
166,28,20,8,17,2,0.2857142857142857,1743702331629
139,20,12,8,10,2,0.4,1743702632665
138,35,20,8,11,3,0.2285714285714285,1743702846667
