MOVES: 33 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 42 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 4
MOVES: 20 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 3 | BOX CHANGES: 3 | CORNER GOALS: 4
MOVES: 62 | PUSHES: 12 | DIR PUSHES: 10 | REV PUSHES: 2 | BOX CHANGES: 8 | CORNER GOALS: 3
MOVES: 53 | PUSHES: 11 | DIR PUSHES: 10 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 35 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 49 | PUSHES: 13 | DIR PUSHES: 11 | REV PUSHES: 2 | BOX CHANGES: 9 | CORNER GOALS: 3
MOVES: 56 | PUSHES: 10 | DIR PUSHES: 9 | REV PUSHES: 4 | BOX CHANGES: 3 | CORNER GOALS: 3
MOVES: 32 | PUSHES: 10 | DIR PUSHES: 8 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 65 | PUSHES: 11 | DIR PUSHES: 10 | REV PUSHES: 2 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 49 | PUSHES: 11 | DIR PUSHES: 7 | REV PUSHES: 4 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 50 | PUSHES: 13 | DIR PUSHES: 10 | REV PUSHES: 1 | BOX CHANGES: 7 | CORNER GOALS: 3
MOVES: 46 | PUSHES: 12 | DIR PUSHES: 9 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 21 | PUSHES: 7 | DIR PUSHES: 5 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 29 | PUSHES: 7 | DIR PUSHES: 5 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 3
MOVES: 31 | PUSHES: 8 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 40 | PUSHES: 7 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 45 | PUSHES: 9 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 39 | PUSHES: 9 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 40 | PUSHES: 10 | DIR PUSHES: 10 | REV PUSHES: 2 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 57 | PUSHES: 11 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 3 | CORNER GOALS: 3
MOVES: 35 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 4
MOVES: 35 | PUSHES: 6 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 58 | PUSHES: 13 | DIR PUSHES: 12 | REV PUSHES: 2 | BOX CHANGES: 9 | CORNER GOALS: 3
MOVES: 39 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 7 | CORNER GOALS: 3
MOVES: 37 | PUSHES: 8 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 4
MOVES: 33 | PUSHES: 8 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 4
MOVES: 60 | PUSHES: 16 | DIR PUSHES: 12 | REV PUSHES: 2 | BOX CHANGES: 8 | CORNER GOALS: 3
MOVES: 56 | PUSHES: 11 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 7 | CORNER GOALS: 3
MOVES: 82 | PUSHES: 13 | DIR PUSHES: 11 | REV PUSHES: 7 | BOX CHANGES: 7 | CORNER GOALS: 3
MOVES: 66 | PUSHES: 13 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 37 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 4
MOVES: 39 | PUSHES: 9 | DIR PUSHES: 8 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 42 | PUSHES: 11 | DIR PUSHES: 10 | REV PUSHES: 3 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 39 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 4
MOVES: 61 | PUSHES: 14 | DIR PUSHES: 12 | REV PUSHES: 3 | BOX CHANGES: 10 | CORNER GOALS: 2
MOVES: 63 | PUSHES: 12 | DIR PUSHES: 9 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 3
MOVES: 34 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 4
MOVES: 68 | PUSHES: 16 | DIR PUSHES: 11 | REV PUSHES: 2 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 39 | PUSHES: 9 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 6 | CORNER GOALS: 2
