MOVES: 41 | PUSHES: 9 | DIR PUSHES: 5 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 39 | PUSHES: 15 | DIR PUSHES: 8 | REV PUSHES: 7 | BOX CHANGES: 5 | CORNER GOALS: 1
MOVES: 54 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 25 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 51 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 13 | PUSHES: 6 | DIR PUSHES: 4 | REV PUSHES: 0 | BOX CHANGES: 3 | CORNER GOALS: 3
MOVES: 21 | PUSHES: 6 | DIR PUSHES: 5 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 32 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 3 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 37 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 29 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 53 | PUSHES: 12 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 40 | PUSHES: 13 | DIR PUSHES: 8 | REV PUSHES: 0 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 74 | PUSHES: 16 | DIR PUSHES: 11 | REV PUSHES: 2 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 9 | PUSHES: 5 | DIR PUSHES: 3 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 71 | PUSHES: 15 | DIR PUSHES: 9 | REV PUSHES: 6 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 71 | PUSHES: 15 | DIR PUSHES: 10 | REV PUSHES: 9 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 43 | PUSHES: 15 | DIR PUSHES: 10 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 23 | PUSHES: 8 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 64 | PUSHES: 13 | DIR PUSHES: 10 | REV PUSHES: 5 | BOX CHANGES: 7 | CORNER GOALS: 1
MOVES: 35 | PUSHES: 9 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 1
MOVES: 62 | PUSHES: 12 | DIR PUSHES: 9 | REV PUSHES: 7 | BOX CHANGES: 7 | CORNER GOALS: 1
MOVES: 44 | PUSHES: 14 | DIR PUSHES: 10 | REV PUSHES: 0 | BOX CHANGES: 8 | CORNER GOALS: 1
MOVES: 42 | PUSHES: 12 | DIR PUSHES: 8 | REV PUSHES: 4 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 41 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 3 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 40 | PUSHES: 13 | DIR PUSHES: 9 | REV PUSHES: 4 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 66 | PUSHES: 17 | DIR PUSHES: 9 | REV PUSHES: 9 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 57 | PUSHES: 9 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 70 | PUSHES: 16 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 7 | CORNER GOALS: 1
MOVES: 53 | PUSHES: 14 | DIR PUSHES: 9 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 55 | PUSHES: 13 | DIR PUSHES: 9 | REV PUSHES: 5 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 53 | PUSHES: 15 | DIR PUSHES: 9 | REV PUSHES: 1 | BOX CHANGES: 6 | CORNER GOALS: 1
MOVES: 49 | PUSHES: 12 | DIR PUSHES: 9 | REV PUSHES: 8 | BOX CHANGES: 7 | CORNER GOALS: 1
