RATING: 0.40943241904363586 | SEED: 1743598905165
RATING: 0.5353289430742948 | SEED: 1743598905492
RATING: 0.47915326044055867 | SEED: 1743598905763
RATING: 0.5931327731631582 | SEED: 1743598906051
RATING: 0.5857288842639503 | SEED: 1743598906318
RATING: 0.4827626085961554 | SEED: 1743598906602
RATING: 0.5134616008282191 | SEED: 1743598907341
RATING: 0.6397189132303323 | SEED: 1743598907652
RATING: 0.5762049476539461 | SEED: 1743598907948
RATING: 0.601343809638722 | SEED: 1743598908216
RATING: 0.4902136067373124 | SEED: 1743598908483
RATING: 0.5236769525646673 | SEED: 1743598908712
RATING: 0.5371778306568259 | SEED: 1743598908962
RATING: 0.4598233747163143 | SEED: 1743598909273
RATING: 0.4653112520191431 | SEED: 1743598909621
RATING: 0.5401837676331568 | SEED: 1743598909870
RATING: 0.4584282255424835 | SEED: 1743598910129
RATING: 0.40198370087642377 | SEED: 1743598910373
RATING: 0.6300746746920098 | SEED: 1743598910612
RATING: 0.5669282890394586 | SEED: 1743598910928
RATING: 0.6580811661262195 | SEED: 1743598911179
RATING: 0.624047968099112 | SEED: 1743598911685
RATING: 0.6086393398267895 | SEED: 1743598911951
RATING: 0.5042885132420277 | SEED: 1743598912205
RATING: 0.5902774628677177 | SEED: 1743598912571
RATING: 0.5351316685418945 | SEED: 1743598912835
RATING: 0.45751315093033823 | SEED: 1743598913210
RATING: 0.5733347292783584 | SEED: 1743598913487
RATING: 0.5322186024326994 | SEED: 1743598913772
RATING: 0.5543422762456821 | SEED: 1743598914078
RATING: 0.5487840101024922 | SEED: 1743598914463
RATING: 0.6668110979333977 | SEED: 1743598914801
RATING: 0.4297905113684183 | SEED: 1743598915132
RATING: 0.5566114142808032 | SEED: 1743598915390
RATING: 0.49607875349542413 | SEED: 1743598915784
RATING: 0.6227508054154837 | SEED: 1743598916058
RATING: 0.5506116253429438 | SEED: 1743598916367
RATING: 0.603154991843179 | SEED: 1743598916696
RATING: 0.548488862988621 | SEED: 1743598917038
RATING: 0.40991378639071324 | SEED: 1743598917332
RATING: 0.5364060462672893 | SEED: 1743598917620
RATING: 0.452151585090208 | SEED: 1743598917933
RATING: 0.4464737471890935 | SEED: 1743598918197
RATING: 0.602772446981794 | SEED: 1743598918525
RATING: 0.6625562988594316 | SEED: 1743598918875
RATING: 0.4775102442128817 | SEED: 1743598919142
RATING: 0.5348703936588398 | SEED: 1743598919378
RATING: 0.5499445604869824 | SEED: 1743598919836
RATING: 0.4436787472062845 | SEED: 1743598920069
RATING: 0.5028962672308624 | SEED: 1743598920358
RATING: 0.5896028136087549 | SEED: 1743598951548
RATING: 0.6613602865481921 | SEED: 1743598951967
RATING: 0.451330344027335 | SEED: 1743598952395
RATING: 0.545202494831973 | SEED: 1743598952655
RATING: 0.6565227003604687 | SEED: 1743598952917
RATING: 0.40323440928896453 | SEED: 1743598953256
RATING: 0.45486822625297185 | SEED: 1743598953493
RATING: 0.5248342512861964 | SEED: 1743598953775
RATING: 0.4992244950889191 | SEED: 1743598954061
RATING: 0.36334812289887525 | SEED: 1743598954368
RATING: 0.47737196130226617 | SEED: 1743598954750
RATING: 0.5550027641109821 | SEED: 1743598955015
RATING: 0.5196241136846278 | SEED: 1743598955276
RATING: 0.4752280513366394 | SEED: 1743598955530
RATING: 0.5098081173109011 | SEED: 1743598955782
RATING: 0.6661881094138852 | SEED: 1743598956045
RATING: 0.6183786660940743 | SEED: 1743598956354
RATING: 0.44411409328403895 | SEED: 1743598956711
RATING: 0.44830601917160506 | SEED: 1743598957036
RATING: 0.4883861694574154 | SEED: 1743598957294
RATING: 0.6587273642680469 | SEED: 1743598957617
RATING: 0.527886091609982 | SEED: 1743598957898
RATING: 0.7818293537355889 | SEED: 1743598958233
RATING: 0.5087129637152741 | SEED: 1743598958724
RATING: 0.6280066342667151 | SEED: 1743598958983
RATING: 0.3881938705905585 | SEED: 1743598959307
RATING: 0.4389481977164697 | SEED: 1743598959545
RATING: 0.572568582107955 | SEED: 1743598959854
RATING: 0.5549188247149972 | SEED: 1743598960128
RATING: 0.6710756567541881 | SEED: 1743598960400
RATING: 0.5404872802207688 | SEED: 1743598960709
RATING: 0.6325248060433494 | SEED: 1743598961073
RATING: 0.4294451876726187 | SEED: 1743598961317
RATING: 0.6301099960021385 | SEED: 1743598961538
RATING: 0.4729559043293446 | SEED: 1743598961868
RATING: 0.5893961013129765 | SEED: 1743598962133
RATING: 0.6902485325369279 | SEED: 1743598962471
RATING: 0.6464175986972581 | SEED: 1743598962716
RATING: 0.506457524268284 | SEED: 1743598963231
