=== 3x6 ===
MOVES: 26 | PUSHES: 6 | DIR PUSHES: 5 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 23 | PUSHES: 5 | DIR PUSHES: 5 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 21 | PUSHES: 4 | DIR PUSHES: 4 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 28 | PUSHES: 8 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 20 | PUSHES: 6 | DIR PUSHES: 5 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 21 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 21 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 19 | PUSHES: 5 | DIR PUSHES: 4 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 26 | PUSHES: 6 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 25 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 26 | PUSHES: 6 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 22 | PUSHES: 6 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 26 | PUSHES: 6 | DIR PUSHES: 5 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 27 | PUSHES: 5 | DIR PUSHES: 5 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 28 | PUSHES: 8 | DIR PUSHES: 8 | REV PUSHES: 2 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 25 | PUSHES: 4 | DIR PUSHES: 4 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 18 | PUSHES: 6 | DIR PUSHES: 5 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 25 | PUSHES: 4 | DIR PUSHES: 4 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 25 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 22 | PUSHES: 6 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 23 | PUSHES: 7 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 3
MOVES: 23 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 23 | PUSHES: 4 | DIR PUSHES: 4 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 21 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 23 | PUSHES: 4 | DIR PUSHES: 4 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 26 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 26 | PUSHES: 6 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 23 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 21 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 23 | PUSHES: 4 | DIR PUSHES: 4 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 1
MOVES: 23 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 24 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 21 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 29 | PUSHES: 7 | DIR PUSHES: 7 | REV PUSHES: 1 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 26 | PUSHES: 6 | DIR PUSHES: 5 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 25 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 2 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 18 | PUSHES: 6 | DIR PUSHES: 5 | REV PUSHES: 1 | BOX CHANGES: 2 | CORNER GOALS: 2
MOVES: 23 | PUSHES: 7 | DIR PUSHES: 6 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 3
MOVES: 24 | PUSHES: 6 | DIR PUSHES: 6 | REV PUSHES: 1 | BOX CHANGES: 3 | CORNER GOALS: 2
MOVES: 26 | PUSHES: 6 | DIR PUSHES: 5 | REV PUSHES: 0 | BOX CHANGES: 2 | CORNER GOALS: 2
=== 6x6 ===
MOVES: 38 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 0 | BOX CHANGES: 6 | CORNER GOALS: 0
MOVES: 39 | PUSHES: 9 | DIR PUSHES: 7 | REV PUSHES: 0 | BOX CHANGES: 5 | CORNER GOALS: 2
MOVES: 39 | PUSHES: 10 | DIR PUSHES: 7 | REV PUSHES: 3 | BOX CHANGES: 6 | CORNER GOALS: 2
MOVES: 51 | PUSHES: 15 | DIR PUSHES: 11 | REV PUSHES: 3 | BOX CHANGES: 7 | CORNER GOALS: 2
MOVES: 48 | PUSHES: 11 | DIR PUSHES: 8 | REV PUSHES: 5 | BOX CHANGES: 5 | CORNER GOALS: 2
