RATING: 0.7568336853716625 | SEED: 1743344712014
RATING: 0.6652685857774742 | SEED: 1743344955911
RATING: 0.7090931940239198 | SEED: 1743344956193
RATING: 0.7792136401162537 | SEED: 1743344980777
RATING: 0.6214009405365433 | SEED: 1743344981041
RATING: 0.6539175881360587 | SEED: 1743344981343
RATING: 0.6128111968780172 | SEED: 1743344981600
RATING: 0.5926032985954484 | SEED: 1743344982286
RATING: 0.7226451792102615 | SEED: 1743344985011
RATING: 0.6422208943996591 | SEED: 1743345012966
RATING: 0.7115369837768255 | SEED: 1743345013766
RATING: 0.6210943892614953 | SEED: 1743345014055
RATING: 0.610574430588723 | SEED: 1743345014327
RATING: 0.6997851678359431 | SEED: 1743345014688
RATING: 0.6684050917645764 | SEED: 1743345014968
RATING: 0.6817606480767004 | SEED: 1743345015580
RATING: 0.6495281874015708 | SEED: 1743345017796
RATING: 0.7134224868637864 | SEED: 1743345021688
RATING: 0.7154729422456578 | SEED: 1743345024199
RATING: 0.709691224142982 | SEED: 1743345027225
RATING: 0.6296332877059516 | SEED: 1743345035589
RATING: 0.7118626240694363 | SEED: 1743345037145
RATING: 0.6294490190404388 | SEED: 1743345126697
RATING: 0.7370667471288401 | SEED: 1743345126960
RATING: 0.607274847009668 | SEED: 1743345127250
RATING: 0.7686557116504334 | SEED: 1743345142745
RATING: 0.6823451627065451 | SEED: 1743345151514
RATING: 0.6525039166487316 | SEED: 1743345162400
RATING: 0.6075613424237356 | SEED: 1743345162918
RATING: 0.5880027961240486 | SEED: 1743345163181
RATING: 0.6808176546315884 | SEED: 1743345166018
RATING: 0.6374704872033232 | SEED: 1743345168283
RATING: 0.6758463437113365 | SEED: 1743345198560
RATING: 0.660757793418145 | SEED: 1743345198832
RATING: 0.6674937601316435 | SEED: 1743345212930
RATING: 0.6289866837580858 | SEED: 1743345216943
RATING: 0.7088586831088892 | SEED: 1743345228097
RATING: 0.6725454573088411 | SEED: 1743345231732
RATING: 0.7258497550606099 | SEED: 1743345259993
RATING: 0.6473855725642933 | SEED: 1743345261020
RATING: 0.7138602790079244 | SEED: 1743345269355
RATING: 0.7391921286268623 | SEED: 1743345269975
RATING: 0.7218939137464329 | SEED: 1743345272145
RATING: 0.6731157875980265 | SEED: 1743345276318
RATING: 0.624023728789204 | SEED: 1743345278395
RATING: 0.7982619455113592 | SEED: 1743345573705
RATING: 0.7041974963984766 | SEED: 1743345574014
RATING: 0.6855677900047755 | SEED: 1743345574345
RATING: 0.6366844595602968 | SEED: 1743345574630
RATING: 0.7447500349101454 | SEED: 1743345574934
