MOVES: 90 | PUSHES: 16 | DIR PUSHES: 14 | REV PUSHES: 5 | BOX CHANGES: 10 | CORNER GOALS: 2
MOVES: 225 | PUSHES: 43 | DIR PUSHES: 26 | REV PUSHES: 14 | BOX CHANGES: 19 | CORNER GOALS: 3
MOVES: 226 | PUSHES: 43 | DIR PUSHES: 28 | REV PUSHES: 10 | BOX CHANGES: 18 | CORNER GOALS: 0
MOVES: 121 | PUSHES: 13 | DIR PUSHES: 12 | REV PUSHES: 2 | BOX CHANGES: 9 | CORNER GOALS: 2
MOVES: 139 | PUSHES: 33 | DIR PUSHES: 20 | REV PUSHES: 15 | BOX CHANGES: 10 | CORNER GOALS: 3
MOVES: 164 | PUSHES: 36 | DIR PUSHES: 24 | REV PUSHES: 13 | BOX CHANGES: 11 | CORNER GOALS: 1
MOVES: 270 | PUSHES: 54 | DIR PUSHES: 28 | REV PUSHES: 18 | BOX CHANGES: 19 | CORNER GOALS: 4
MOVES: 150 | PUSHES: 36 | DIR PUSHES: 17 | REV PUSHES: 10 | BOX CHANGES: 9 | CORNER GOALS: 2
MOVES: 69 | PUSHES: 13 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 341 | PUSHES: 97 | DIR PUSHES: 47 | REV PUSHES: 35 | BOX CHANGES: 29 | CORNER GOALS: 2
MOVES: 225 | PUSHES: 53 | DIR PUSHES: 33 | REV PUSHES: 17 | BOX CHANGES: 27 | CORNER GOALS: 2
MOVES: 89 | PUSHES: 28 | DIR PUSHES: 14 | REV PUSHES: 8 | BOX CHANGES: 9 | CORNER GOALS: 2
MOVES: 71 | PUSHES: 17 | DIR PUSHES: 12 | REV PUSHES: 2 | BOX CHANGES: 6 | CORNER GOALS: 3
MOVES: 179 | PUSHES: 36 | DIR PUSHES: 25 | REV PUSHES: 8 | BOX CHANGES: 17 | CORNER GOALS: 2
MOVES: 204 | PUSHES: 44 | DIR PUSHES: 22 | REV PUSHES: 12 | BOX CHANGES: 17 | CORNER GOALS: 1
MOVES: 79 | PUSHES: 17 | DIR PUSHES: 12 | REV PUSHES: 4 | BOX CHANGES: 9 | CORNER GOALS: 3
MOVES: 106 | PUSHES: 23 | DIR PUSHES: 14 | REV PUSHES: 7 | BOX CHANGES: 9 | CORNER GOALS: 2
MOVES: 307 | PUSHES: 49 | DIR PUSHES: 35 | REV PUSHES: 18 | BOX CHANGES: 23 | CORNER GOALS: 2
MOVES: 115 | PUSHES: 23 | DIR PUSHES: 16 | REV PUSHES: 10 | BOX CHANGES: 12 | CORNER GOALS: 2
MOVES: 200 | PUSHES: 30 | DIR PUSHES: 24 | REV PUSHES: 6 | BOX CHANGES: 16 | CORNER GOALS: 3
MOVES: 124 | PUSHES: 21 | DIR PUSHES: 14 | REV PUSHES: 3 | BOX CHANGES: 9 | CORNER GOALS: 4
MOVES: 133 | PUSHES: 24 | DIR PUSHES: 19 | REV PUSHES: 8 | BOX CHANGES: 13 | CORNER GOALS: 3
MOVES: 80 | PUSHES: 14 | DIR PUSHES: 9 | REV PUSHES: 2 | BOX CHANGES: 6 | CORNER GOALS: 3
MOVES: 120 | PUSHES: 20 | DIR PUSHES: 17 | REV PUSHES: 7 | BOX CHANGES: 12 | CORNER GOALS: 3
MOVES: 110 | PUSHES: 33 | DIR PUSHES: 17 | REV PUSHES: 9 | BOX CHANGES: 9 | CORNER GOALS: 2
MOVES: 226 | PUSHES: 44 | DIR PUSHES: 39 | REV PUSHES: 12 | BOX CHANGES: 27 | CORNER GOALS: 2
MOVES: 136 | PUSHES: 28 | DIR PUSHES: 17 | REV PUSHES: 7 | BOX CHANGES: 13 | CORNER GOALS: 2
MOVES: 407 | PUSHES: 107 | DIR PUSHES: 52 | REV PUSHES: 36 | BOX CHANGES: 33 | CORNER GOALS: 2
MOVES: 75 | PUSHES: 13 | DIR PUSHES: 10 | REV PUSHES: 6 | BOX CHANGES: 4 | CORNER GOALS: 3
MOVES: 118 | PUSHES: 35 | DIR PUSHES: 17 | REV PUSHES: 14 | BOX CHANGES: 11 | CORNER GOALS: 4
MOVES: 196 | PUSHES: 39 | DIR PUSHES: 30 | REV PUSHES: 12 | BOX CHANGES: 12 | CORNER GOALS: 0
MOVES: 215 | PUSHES: 43 | DIR PUSHES: 25 | REV PUSHES: 16 | BOX CHANGES: 15 | CORNER GOALS: 3
MOVES: 110 | PUSHES: 18 | DIR PUSHES: 13 | REV PUSHES: 7 | BOX CHANGES: 7 | CORNER GOALS: 1
MOVES: 424 | PUSHES: 79 | DIR PUSHES: 42 | REV PUSHES: 27 | BOX CHANGES: 27 | CORNER GOALS: 2
MOVES: 134 | PUSHES: 24 | DIR PUSHES: 15 | REV PUSHES: 9 | BOX CHANGES: 9 | CORNER GOALS: 1
MOVES: 119 | PUSHES: 23 | DIR PUSHES: 13 | REV PUSHES: 6 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 148 | PUSHES: 24 | DIR PUSHES: 18 | REV PUSHES: 8 | BOX CHANGES: 12 | CORNER GOALS: 2
MOVES: 271 | PUSHES: 61 | DIR PUSHES: 31 | REV PUSHES: 18 | BOX CHANGES: 22 | CORNER GOALS: 1
MOVES: 122 | PUSHES: 38 | DIR PUSHES: 25 | REV PUSHES: 14 | BOX CHANGES: 22 | CORNER GOALS: 3
MOVES: 255 | PUSHES: 57 | DIR PUSHES: 31 | REV PUSHES: 15 | BOX CHANGES: 20 | CORNER GOALS: 2
MOVES: 126 | PUSHES: 22 | DIR PUSHES: 18 | REV PUSHES: 7 | BOX CHANGES: 11 | CORNER GOALS: 2
MOVES: 239 | PUSHES: 32 | DIR PUSHES: 27 | REV PUSHES: 6 | BOX CHANGES: 19 | CORNER GOALS: 3
MOVES: 246 | PUSHES: 37 | DIR PUSHES: 25 | REV PUSHES: 15 | BOX CHANGES: 17 | CORNER GOALS: 1
MOVES: 72 | PUSHES: 17 | DIR PUSHES: 12 | REV PUSHES: 1 | BOX CHANGES: 8 | CORNER GOALS: 2
MOVES: 238 | PUSHES: 72 | DIR PUSHES: 25 | REV PUSHES: 25 | BOX CHANGES: 18 | CORNER GOALS: 1
MOVES: 152 | PUSHES: 27 | DIR PUSHES: 20 | REV PUSHES: 10 | BOX CHANGES: 17 | CORNER GOALS: 0
MOVES: 272 | PUSHES: 55 | DIR PUSHES: 37 | REV PUSHES: 21 | BOX CHANGES: 22 | CORNER GOALS: 1
MOVES: 194 | PUSHES: 50 | DIR PUSHES: 26 | REV PUSHES: 23 | BOX CHANGES: 19 | CORNER GOALS: 1
MOVES: 135 | PUSHES: 10 | DIR PUSHES: 8 | REV PUSHES: 0 | BOX CHANGES: 4 | CORNER GOALS: 2
MOVES: 173 | PUSHES: 31 | DIR PUSHES: 23 | REV PUSHES: 13 | BOX CHANGES: 16 | CORNER GOALS: 1
